sym_nr,pis,ko,psl,konf,lew,bs,inni
105,40.192,28.599,7.957,10.177,9.775,2.25,1.049
106,36.619,30.611,11.446,9.934,8.163,2.534,0.694
107,37.464,29.282,9.168,11.398,9.014,2.28,1.393
108,37.754,29.856,10.247,9.255,9.79,2.308,0.79
109,38.572,29.277,8.543,10.925,9.873,1.933,0.876
110,36.867,30.077,9.463,9.831,11.369,1.712,0.681
111,38.123,29.028,9.951,9.77,9.732,1.871,1.525
112,36.736,30.083,11.256,9.858,9.467,2.051,0.549
113,38.743,30.827,8.957,11.582,7.74,1.609,0.541
114,38.2,29.101,9.557,10.845,9.196,2.171,0.93
115,35.131,29.974,10.767,11.236,9.724,2.861,0.306
116,38.919,28.957,10.09,11.233,7.791,2.691,0.319
117,37.902,28.417,9.414,10.971,10.158,2.597,0.541
118,38.288,29.476,10.249,9.963,9.414,2.059,0.551
119,38.325,29.567,9.911,8.953,10.102,2.221,0.922
120,39.813,28.507,10.433,9.165,9.45,1.839,0.793
121,36.446,28.984,10.715,11.657,10.422,1.435,0.34
122,39.627,28.018,9.859,8.986,10.618,2.144,0.747
123,37.501,29.154,9.956,11.193,8.919,2.445,0.831
124,37.071,28.569,10.928,10.502,10.797,1.534,0.599
125,37.738,27.692,11.22,11.448,9.453,1.532,0.917
126,37.07,31.686,8.067,11.62,8.204,2.7,0.653
127,35.372,29.256,9.929,11.728,10.976,2.193,0.546
128,38.721,27.132,11.862,10.119,9.287,2.407,0.471
129,39.404,29.639,9.48,9.582,8.371,2.4,1.123
130,36.173,30.8,8.59,10.392,10.367,2.806,0.871
131,37.689,30.766,8.868,11.224,8.568,1.902,0.982
132,35.805,30.721,9.539,10.38,10.458,2.274,0.824
133,38.38,28.291,9.47,11.51,8.745,2.907,0.697
134,36.188,29.946,10.416,11.349,8.737,2.76,0.604
135,38.192,30.951,9.531,9.876,8.388,2.281,0.781
136,37.114,29.643,10.284,9.514,9.836,2.762,0.847
137,40.69,28.048,9.145,9.705,9.449,2.238,0.725
138,34.156,31.538,9.063,11.639,10.437,2.324,0.843
139,39.228,29.398,9.659,10.269,8.19,2.537,0.719
140,35.585,28.32,10.98,11.632,10.247,2.195,1.041
141,38.683,28.002,9.278,9.599,10.893,2.659,0.887
142,36.799,27.842,9.735,11.416,11.029,1.805,1.373
143,40.422,28.946,9.377,9.703,7.902,2.496,1.153
144,38.07,28.982,11.14,9.001,10.488,1.678,0.642
145,38.091,28.385,9.982,10.639,9.927,2.213,0.763
146,36.977,28.514,10.176,10.922,10.528,2.149,0.734
147,40.091,28.125,10.602,8.208,9.564,2.287,1.122
148,38.626,29.916,9.583,9.383,9.509,2.356,0.628
149,36.948,31.172,9.376,10.671,8.999,1.844,0.989
150,36.164,30.476,8.751,11.05,10.352,2.77,0.437
151,37.493,29.798,10.365,9.371,9.306,2.58,1.086
152,36.317,30.207,10.672,9.623,10.163,2.402,0.616
153,38.913,29.456,9.323,10.537,9.602,1.497,0.671
154,38.702,29.075,9.086,11.314,8.784,2.81,0.229
155,38.964,28.555,8.525,10.671,10.49,2.467,0.327
156,36.719,30.808,8.83,11.103,9.168,2.863,0.51
157,36.623,30.519,10.212,9.724,10.103,1.701,1.117
158,36.795,30.146,9.894,10.445,9.468,2.128,1.125
159,36.347,29.581,9.583,10.878,9.905,2.212,1.494
160,37.915,28.18,9.846,10.398,10.479,2.333,0.849
161,39.93,27.623,8.725,10.262,10.832,2.366,0.262
162,36.501,29.425,10.156,10.432,10.898,1.779,0.809
163,38.515,28.565,10.028,9.71,9.841,2.131,1.21
164,37.826,29.323,9.483,10.948,9.283,3.017,0.12
165,40.416,30.4,9.658,8.216,8.501,2.345,0.465
166,39.934,30.474,9.631,9.138,8.815,1.531,0.476
167,38.915,27.866,9.18,10.847,9.688,2.759,0.746
168,38.032,29.288,9.193,10.01,10.992,2.219,0.267
169,40.644,29.517,9.237,8.914,9.177,2.384,0.127
170,38.752,29.848,9.721,10.81,8.332,1.618,0.918
171,38.528,28.128,9.896,10.23,10.371,2.089,0.757
172,37.713,28.901,9.779,10.571,10.066,2.327,0.644
173,37.029,29.63,10.395,10.714,9.813,1.698,0.721
174,37.206,30.288,9.575,11.625,8.643,2.172,0.491
175,40.752,26.445,11.281,9.892,8.285,2.107,1.238
176,36.628,30.687,8.794,11.601,9.202,2.563,0.525
