sym_nr,pis,ko,psl,konf,lew,bs,inni
2023,37.612,30.377,8.286,10.369,9.225,2.863,1.268
2024,39.738,28.383,9.662,10.17,9.276,2.615,0.157
2025,38.117,29.643,8.247,10.033,10.662,2.655,0.643
2026,38.97,27.881,8.89,11.563,10.341,2.003,0.352
2027,38.369,27.69,11.303,10.073,10.186,1.853,0.527
2028,38.849,27.581,9.759,10.582,11.415,1.66,0.156
2029,38.375,30.499,8.913,11.646,8.579,1.641,0.347
2030,41.674,25.031,9.593,11.042,10.032,1.831,0.797
2031,37.393,28.019,10.181,10.409,11.277,1.821,0.901
2032,35.723,30.439,10.133,9.936,11.148,1.783,0.839
2033,37.932,29.663,9.568,10.803,9.378,1.413,1.242
2034,38.214,27.645,9.719,12.225,9.59,1.852,0.755
2035,39.821,28.698,10.331,9.23,8.856,2.727,0.339
2036,36.621,31.267,8.651,10.684,9.982,2.214,0.581
2037,40.234,30.138,11.215,8.71,6.929,1.625,1.148
2038,39.589,31.539,7.141,9.24,8.913,2.824,0.754
2039,38.326,28.049,10.095,10.788,9.251,2.606,0.884
2040,37.717,31.703,9.635,7.916,9.835,1.919,1.275
2041,37.188,30.33,8.987,10.736,10.341,1.381,1.037
2042,37.613,29.39,9.907,10.617,9.405,2.474,0.595
2043,40.285,26.764,8.17,11.27,11.059,2.309,0.142
2044,41.678,28.546,8.029,9.655,9.071,2.319,0.702
2045,35.292,31.473,10.9,9.483,9.605,2.038,1.21
2046,38.885,29.16,10.285,9.924,8.768,2.427,0.551
2047,38.381,29.521,8.487,11.001,9.96,2.121,0.531
2048,37.733,30.088,8.703,10.082,10.463,2.062,0.868
2049,36.547,29.706,9.855,12.039,9.687,1.413,0.754
2050,36.466,28.575,11.124,10.285,11.212,1.95,0.388
2051,39.472,30.213,7.816,9.26,10.027,2.122,1.09
2052,39.348,29.208,9.711,10.56,7.91,2.537,0.726
2053,35.986,29.325,11.493,10.207,9.852,2.381,0.756
2054,38.597,30.899,7.924,9.801,9.819,2.376,0.584
2055,39.214,29.091,10.22,8.221,10.237,2.272,0.745
2056,38.093,28.966,9.545,10.33,9.605,2.787,0.674
2057,37.032,31.601,8.022,10.998,8.994,2.155,1.197
2058,38.781,29.711,8.197,9.758,10.184,2.936,0.433
2059,38.633,32.672,9.249,7.949,8.687,2.121,0.689
2060,40.157,30.061,9.04,9.046,8.472,2.622,0.601
2061,37.007,29.545,9.371,10.467,10.275,2.18,1.155
2062,36.28,31.993,9.287,8.86,9.838,3.29,0.452
2063,36.263,30.785,10.451,8.266,10.252,3.18,0.802
2064,36.364,29.576,10.676,10.735,9.575,2.078,0.996
2065,38.073,30.072,10.352,9.014,10.377,1.611,0.501
2066,38.542,29.861,9.149,9.548,9.844,2.489,0.568
2067,36.839,30.294,10.438,10.043,9.847,1.775,0.764
2068,37.492,30.89,8.545,11.405,8.443,2.446,0.778
2069,36.527,26.541,10.086,12.506,11.215,1.754,1.371
2070,39.778,28.281,9.656,10.333,9.553,1.814,0.585
2071,37.826,29.153,11.465,10.109,9.772,1.485,0.19
2072,37.071,29.723,8.938,10.072,11.082,2.33,0.783
2073,33.348,32.076,10.902,11.304,10.104,1.973,0.294
2074,37.493,28.449,8.365,11.32,11.476,2.219,0.679
2075,36.282,30.189,11.016,10.393,9.68,2.44,0.0
2076,38.376,29.098,8.674,9.672,11.138,2.622,0.419
2077,37.638,28.618,10.909,11.221,8.662,2.181,0.772
2078,39.466,29.236,8.494,9.1,9.799,2.855,1.051
2079,37.767,30.82,8.87,10.614,9.387,1.857,0.686
2080,40.629,26.342,10.352,10.034,9.247,2.568,0.827
2081,38.676,29.991,8.567,11.887,7.349,2.731,0.798
2082,38.136,30.154,8.996,10.092,9.248,2.734,0.639
2083,35.304,29.882,11.632,10.649,9.648,1.814,1.071
2084,36.87,28.717,11.795,11.465,9.006,1.453,0.694
2085,36.652,29.878,10.377,11.674,9.316,1.726,0.378
2086,38.721,27.665,12.486,9.426,9.412,1.688,0.602
2087,38.485,31.33,9.74,9.261,8.593,1.91,0.681
2088,39.315,30.761,10.68,9.928,6.734,2.096,0.486
2089,37.251,29.619,8.741,10.487,10.517,2.286,1.101
2090,36.309,29.711,11.558,10.503,8.771,2.215,0.933
2091,36.214,30.305,9.738,10.128,10.206,2.476,0.932
2092,37.821,28.82,10.126,10.803,9.554,1.89,0.986
2093,37.935,30.469,9.916,9.2,10.041,2.059,0.379
2094,36.977,29.341,9.746,11.285,9.332,2.563,0.755
2095,37.939,29.898,9.638,11.51,8.739,2.034,0.242
2096,37.825,30.201,9.882,9.412,10.186,1.927,0.566
2097,35.563,31.655,9.871,11.367,7.823,2.871,0.85
2098,38.773,30.351,7.848,10.027,9.321,2.812,0.868
2099,37.458,30.932,10.072,10.309,8.712,2.272,0.246
2100,36.604,29.888,8.919,11.598,10.859,1.654,0.479
2101,38.879,27.036,10.549,10.63,8.611,3.526,0.77
2102,38.398,29.902,10.027,9.682,9.728,1.788,0.474
2103,37.895,30.568,8.384,9.107,11.086,2.641,0.318
2104,37.907,28.346,9.959,11.179,10.286,1.565,0.759
2105,38.233,29.346,9.861,10.92,7.704,3.231,0.704
2106,38.744,30.633,7.699,10.954,8.895,2.637,0.438
2107,38.114,30.532,10.006,9.022,10.166,1.59,0.569
2108,38.0,28.829,10.332,10.897,9.435,1.725,0.782
2109,39.221,28.312,9.519,10.824,8.232,3.027,0.864
2110,39.511,29.31,7.104,9.91,11.166,2.095,0.905
2111,37.225,28.865,10.289,10.848,10.141,1.941,0.691
2112,39.017,29.067,8.885,10.193,9.571,2.386,0.881
2113,37.733,30.676,10.724,8.872,8.778,2.795,0.421
2114,38.611,28.193,8.898,9.981,11.249,2.348,0.72
2115,38.494,29.766,9.511,10.025,8.759,2.952,0.492
2116,37.089,30.384,8.825,10.848,9.364,2.735,0.754
2117,37.594,29.123,10.714,10.693,8.858,2.352,0.665
2118,38.091,27.594,8.777,12.798,9.682,2.005,1.054
2119,35.906,30.721,8.597,10.784,10.407,2.797,0.789
2120,36.695,30.553,9.756,10.513,9.638,2.2,0.645
2121,38.076,29.332,8.91,10.251,10.254,2.427,0.751
2122,37.018,30.212,9.12,11.339,9.139,2.549,0.624
2123,36.493,29.263,11.623,9.674,10.29,2.266,0.392
2124,40.33,31.667,9.842,7.297,8.045,2.317,0.503
2125,38.251,30.971,8.388,10.334,9.422,1.996,0.639
2126,37.901,30.04,8.798,10.309,9.4,2.809,0.742
2127,36.757,30.343,10.094,10.446,8.865,2.799,0.697
2128,38.409,29.05,8.28,10.499,11.854,1.144,0.764
2129,37.444,30.705,10.675,8.507,9.393,2.501,0.775
2130,38.703,29.351,9.726,9.248,9.642,2.384,0.945
2131,39.672,30.312,8.917,10.015,7.721,2.619,0.745
2132,38.056,31.278,8.672,10.797,8.351,2.448,0.397
2133,38.029,30.462,8.865,10.476,9.423,1.881,0.864
2134,39.399,28.492,6.813,13.072,9.578,1.673,0.973
2135,37.477,30.384,8.445,9.895,11.153,2.515,0.13
2136,37.9,29.094,9.901,10.351,9.23,2.807,0.716
2137,38.335,30.955,8.626,9.464,9.352,2.437,0.83
2138,37.551,29.495,8.413,11.822,10.196,1.442,1.08
2139,37.307,29.092,9.757,11.335,9.375,2.57,0.564
2140,34.729,30.204,10.978,11.311,10.272,1.748,0.757
2141,37.84,32.029,8.301,10.506,8.139,2.193,0.992
2142,39.795,28.663,10.945,8.572,9.984,1.373,0.668
2143,37.949,28.221,10.078,10.321,10.783,2.209,0.439
2144,39.524,28.322,10.159,10.743,8.562,2.346,0.344
2145,37.355,27.754,9.561,11.822,9.533,2.754,1.221
2146,36.905,30.922,10.481,10.241,8.432,2.09,0.928
2147,39.147,26.883,10.282,10.886,9.49,2.597,0.715
2148,37.727,27.689,8.808,11.773,10.926,2.189,0.887
2149,36.552,29.854,9.118,11.187,9.735,2.671,0.884
2150,37.689,27.834,10.065,12.314,9.189,1.804,1.105
2151,38.429,29.81,9.435,9.751,9.741,2.067,0.767
2152,38.644,29.402,9.485,8.271,10.005,2.845,1.348
2153,37.732,29.322,9.521,10.417,9.079,2.631,1.298
2154,39.253,28.991,8.713,10.429,9.99,2.005,0.619
2155,38.653,28.08,9.676,11.461,8.992,2.696,0.442
2156,36.852,30.781,9.05,10.387,9.431,2.581,0.917
2157,40.536,29.505,8.959,9.45,8.412,2.156,0.982
2158,39.97,30.322,8.505,10.654,7.883,1.86,0.806
2159,38.41,30.271,7.51,11.43,9.544,2.022,0.814
2160,36.063,30.025,10.406,11.57,8.95,2.103,0.882
2161,38.093,31.405,9.262,9.131,9.338,2.435,0.336
2162,36.281,30.612,9.614,10.823,9.223,2.474,0.973
2163,37.796,28.918,10.844,10.114,9.048,2.344,0.936
2164,38.11,27.029,11.645,10.825,9.324,2.28,0.787
2165,37.168,29.563,10.178,8.881,10.556,2.771,0.883
2166,39.373,30.117,9.197,9.434,9.179,1.81,0.89
2167,37.599,29.843,7.934,10.897,10.798,2.233,0.697
2168,38.347,28.269,10.464,11.363,8.786,1.915,0.856
2169,38.425,28.483,10.448,10.126,8.588,2.827,1.104
2170,37.587,29.116,9.722,10.369,10.036,2.823,0.345
2171,38.238,30.404,9.784,9.955,8.817,2.02,0.781
2172,37.327,28.625,8.337,11.903,10.512,2.682,0.614
2173,37.62,29.458,11.655,9.846,8.306,2.394,0.72
2174,38.321,29.516,10.345,10.161,9.03,1.77,0.858
2175,37.913,30.144,10.632,9.649,8.808,2.52,0.335
2176,36.575,29.212,9.324,9.266,12.777,1.82,1.026
2177,38.112,32.053,9.166,10.341,8.079,1.753,0.495
2178,37.428,30.364,10.126,9.903,8.577,2.433,1.17
2179,36.818,29.643,8.339,11.444,10.332,3.242,0.183
2180,39.036,29.411,10.82,9.725,9.026,1.164,0.819
2181,37.263,30.328,9.652,10.751,9.328,2.641,0.036
2182,37.822,28.905,10.469,10.443,9.564,2.373,0.423
2183,35.97,29.186,10.13,12.402,10.077,1.942,0.294
2184,41.216,27.953,9.543,9.852,9.175,1.701,0.56
2185,37.17,30.775,9.348,11.295,7.743,2.356,1.313
2186,36.939,29.09,10.795,10.365,9.365,2.079,1.368
2187,37.208,29.365,10.333,10.195,10.192,2.021,0.686
2188,38.347,28.14,10.523,11.705,8.938,1.97,0.377
2189,39.463,29.762,9.575,9.428,10.139,0.927,0.705
2190,38.005,28.76,10.628,9.281,10.166,2.625,0.535
2191,38.947,30.058,10.15,10.443,8.273,1.515,0.614
2192,37.788,30.665,6.69,10.825,10.037,3.172,0.823
2193,35.262,29.326,12.188,10.92,9.601,2.387,0.316
2194,36.545,30.209,10.845,10.225,9.883,1.585,0.708
2195,36.903,29.834,9.279,10.727,9.758,2.536,0.964
2196,34.587,30.201,9.266,12.473,9.927,2.483,1.063
2197,36.508,29.116,10.971,11.012,9.124,2.604,0.665
2198,38.186,29.526,11.428,10.253,8.502,1.418,0.687
2199,38.975,29.396,8.766,9.123,10.752,2.327,0.661
2200,37.339,29.72,8.75,10.963,10.571,2.097,0.561
2201,40.283,27.121,10.18,9.843,9.364,2.38,0.828
2202,36.526,29.235,9.368,11.501,9.578,2.954,0.838
2203,37.81,29.563,8.836,11.689,8.434,3.166,0.504
2204,38.221,29.834,9.771,9.335,10.375,1.937,0.526
2205,35.93,30.639,8.883,11.643,8.954,2.757,1.194
2206,37.845,28.71,8.684,11.313,10.264,2.327,0.858
2207,38.648,29.121,9.12,9.355,10.212,2.999,0.544
2208,37.543,28.818,9.901,9.905,9.864,2.787,1.184
2209,36.033,28.104,11.474,10.155,11.536,1.698,1.0
2210,37.112,29.562,9.491,10.934,9.66,2.436,0.805
2211,38.466,31.549,9.231,10.869,7.893,1.726,0.266
2212,36.748,30.29,9.34,11.126,9.512,2.311,0.674
2213,40.779,29.301,9.644,9.785,8.837,1.391,0.263
2214,39.937,29.801,7.769,9.586,9.468,2.491,0.949
2215,39.944,29.294,10.774,9.373,8.605,1.328,0.682
2216,36.536,30.518,10.345,9.389,10.587,2.016,0.608
2217,39.648,28.519,9.582,10.087,9.439,2.032,0.693
2218,37.947,28.886,10.262,10.518,9.178,2.416,0.792
2219,34.637,27.945,10.54,12.613,10.865,2.343,1.056
2220,39.287,27.612,10.171,8.903,10.472,2.938,0.617
2221,37.787,27.248,10.383,11.256,9.854,2.411,1.06
2222,39.464,29.47,8.631,11.403,8.135,2.19,0.706
2223,34.975,30.265,10.982,10.614,10.372,1.853,0.939
2224,36.821,31.605,11.226,8.328,9.554,1.672,0.794
2225,36.997,29.975,8.626,9.87,10.914,2.384,1.235
2226,35.809,29.593,9.979,10.879,9.904,2.792,1.045
2227,37.216,26.912,10.509,10.71,10.882,2.811,0.96
2228,38.924,29.331,11.004,9.774,8.981,1.794,0.193
2229,37.984,32.552,9.423,9.406,7.366,2.522,0.748
2230,37.801,30.409,9.526,10.142,9.453,2.148,0.521
2231,38.248,29.401,10.503,9.481,9.527,2.103,0.737
2232,38.825,29.347,10.015,8.882,9.787,2.822,0.323
2233,37.261,30.751,9.148,9.6,10.122,2.312,0.806
2234,38.363,28.892,8.763,11.912,9.051,2.778,0.242
2235,39.194,27.7,9.882,10.105,9.73,2.689,0.7
2236,38.453,28.87,9.976,9.366,10.582,1.94,0.813
2237,39.381,33.032,8.22,8.611,7.968,1.809,0.979
2238,36.069,29.699,9.804,10.462,10.612,2.371,0.983
2239,36.827,30.173,10.007,9.504,10.19,3.05,0.25
2240,37.218,29.947,8.965,10.492,10.185,2.342,0.85
2241,40.382,28.42,9.156,10.696,9.358,1.218,0.771
2242,35.015,28.519,11.646,12.204,10.075,2.511,0.031
2243,40.926,29.14,9.403,8.322,9.288,1.843,1.079
2244,38.115,29.188,9.851,9.133,10.342,2.261,1.111
2245,39.443,30.385,9.265,10.698,8.135,1.56,0.514
2246,38.671,29.625,10.563,10.873,8.374,1.347,0.548
2247,36.485,29.4,11.161,10.424,9.154,3.267,0.11
2248,38.856,28.794,10.637,11.169,7.78,2.333,0.432
2249,36.097,32.122,10.444,8.584,9.234,2.23,1.288
2250,36.328,31.798,10.059,11.364,8.372,1.836,0.243
2251,37.769,28.536,10.679,10.42,9.08,2.444,1.072
2252,36.715,27.921,10.917,10.336,11.045,1.799,1.268
2253,37.768,27.22,11.007,10.398,9.943,3.267,0.397
2254,38.463,30.042,9.036,11.139,9.081,1.7,0.539
2255,38.658,29.935,8.76,10.981,8.417,2.27,0.978
2256,37.259,29.632,10.539,9.709,10.096,2.236,0.528
2257,38.43,28.152,9.813,11.161,9.442,2.128,0.874
2258,38.577,27.054,11.178,10.814,9.307,2.313,0.757
2259,39.86,28.359,9.357,9.752,9.127,2.716,0.829
2260,38.743,29.679,8.677,9.663,10.146,1.952,1.139
2261,38.347,29.693,9.477,10.283,10.102,1.558,0.54
2262,38.592,28.21,11.648,10.322,8.795,2.37,0.062
2263,35.15,29.892,9.788,10.734,10.841,2.646,0.95
2264,38.536,28.767,9.183,10.714,9.64,2.269,0.891
2265,39.295,29.405,10.314,10.77,8.433,1.735,0.049
2266,38.84,30.155,8.896,9.836,8.742,2.431,1.101
2267,38.187,30.061,11.465,9.748,7.9,1.964,0.675
2268,35.121,31.007,8.488,12.06,9.313,2.824,1.188
2269,39.62,28.883,10.875,11.034,7.218,1.533,0.836
2270,38.688,29.798,8.955,9.745,9.546,2.473,0.796
2271,37.927,30.094,10.488,9.669,8.757,2.202,0.863
2272,35.138,31.381,11.376,9.914,8.51,2.857,0.824
2273,38.39,29.138,9.979,10.01,9.798,2.28,0.405
2274,37.645,30.594,7.875,11.098,9.194,3.104,0.489
2275,37.428,30.946,8.846,9.166,11.586,1.677,0.352
2276,38.329,30.125,8.726,11.186,9.281,1.783,0.57
2277,39.03,28.366,9.27,11.007,8.988,2.48,0.859
2278,38.118,31.15,9.442,9.122,9.55,2.429,0.189
2279,38.089,29.07,10.116,9.276,10.134,2.557,0.758
2280,39.413,29.281,8.336,9.869,10.566,1.768,0.766
2281,37.079,29.011,8.94,10.599,11.128,1.831,1.413
2282,38.633,29.162,9.136,10.333,9.481,2.503,0.753
2283,36.298,31.921,8.145,11.276,9.703,1.964,0.694
2284,38.578,27.49,10.224,9.87,11.075,2.04,0.722
2285,37.867,28.997,9.086,10.969,10.166,2.545,0.37
2286,38.624,29.376,8.717,11.021,9.184,2.883,0.194
2287,35.318,29.784,11.378,11.038,9.84,2.096,0.547
2288,37.414,30.774,9.55,10.968,8.692,1.862,0.739
2289,37.82,28.546,8.916,11.758,9.966,2.094,0.9
2290,37.329,30.048,7.998,12.254,9.398,2.153,0.819
2291,38.75,30.032,10.24,9.098,9.123,1.749,1.007
2292,35.051,30.072,11.035,10.095,10.778,2.589,0.38
2293,37.447,31.176,9.455,10.876,8.559,2.375,0.111
2294,37.209,29.263,9.735,12.818,9.326,1.083,0.567
2295,38.607,29.357,9.93,11.922,9.142,0.807,0.234
2296,36.804,30.646,10.375,10.107,10.088,1.529,0.451
2297,39.874,27.495,8.636,11.234,10.111,1.941,0.71
2298,37.167,30.71,8.832,10.935,9.416,2.446,0.494
2299,37.736,29.951,10.15,9.58,9.65,1.991,0.941
2300,36.993,29.225,10.429,9.527,10.742,2.615,0.47
2301,36.603,28.114,10.99,11.457,9.867,2.34,0.63
2302,38.904,29.901,8.734,11.513,7.563,2.507,0.879
2303,37.916,28.906,9.412,10.661,10.058,2.195,0.852
2304,37.096,31.856,8.783,10.416,9.692,1.303,0.855
2305,37.987,29.995,8.438,11.12,9.695,1.735,1.029
2306,38.579,29.064,9.219,9.172,10.443,2.546,0.977
2307,33.474,30.318,10.63,10.751,10.635,3.105,1.086
2308,39.15,28.757,9.576,9.105,10.293,2.055,1.064
2309,39.237,27.787,9.837,10.876,9.383,2.512,0.368
2310,38.217,29.802,9.835,9.356,9.772,1.937,1.08
2311,36.72,27.709,10.907,12.06,8.617,3.0,0.987
2312,37.658,30.251,10.244,9.365,9.394,1.916,1.173
2313,39.838,31.932,6.714,9.435,8.884,2.292,0.905
2314,37.713,29.848,8.787,9.749,10.368,2.474,1.061
2315,37.02,28.885,10.2,9.452,10.653,2.988,0.802
2316,36.874,30.374,9.974,8.722,10.343,2.922,0.791
2317,37.741,29.632,9.466,11.397,8.441,2.356,0.968
2318,37.364,30.498,8.976,10.22,9.766,2.459,0.717
2319,39.997,28.868,9.311,10.286,8.741,1.931,0.866
2320,37.608,29.07,9.927,10.405,9.835,1.977,1.178
2321,39.291,30.385,9.166,9.889,8.513,1.987,0.769
2322,38.957,28.298,9.169,10.383,9.571,3.194,0.428
2323,37.144,29.941,9.157,10.236,9.805,3.458,0.259
2324,37.331,29.102,9.441,10.384,10.281,2.863,0.598
2325,37.453,29.198,11.001,10.758,8.957,1.596,1.038
2326,36.36,31.494,9.957,10.546,8.407,2.574,0.662
2327,38.064,29.914,9.371,10.478,9.461,1.732,0.98
2328,37.052,30.344,9.966,10.067,11.53,0.734,0.307
2329,37.343,27.891,10.312,10.743,10.557,2.377,0.777
2330,38.036,29.266,9.174,11.923,9.629,1.318,0.654
2331,38.498,30.381,8.601,10.209,8.717,3.272,0.32
2332,36.769,29.719,9.098,10.495,11.05,2.145,0.724
2333,40.937,28.633,8.57,10.696,8.633,2.413,0.118
2334,37.433,28.402,11.586,8.744,10.169,3.216,0.45
2335,38.11,30.818,8.7,8.522,11.114,2.254,0.482
2336,39.129,29.318,9.972,9.49,9.555,2.013,0.524
2337,36.29,32.242,9.281,9.9,9.833,1.599,0.855
2338,37.794,31.679,9.37,8.552,10.354,1.734,0.518
2339,38.423,28.323,9.972,10.706,9.454,2.048,1.074
2340,38.161,29.704,10.073,9.165,9.878,2.351,0.669
2341,39.172,30.35,9.681,11.577,6.736,1.757,0.727
2342,37.74,29.942,9.245,9.503,10.135,2.8,0.636
2343,37.547,29.735,10.35,10.351,8.315,3.027,0.674
2344,37.526,30.205,9.776,9.898,9.369,2.579,0.645
2345,38.526,28.702,8.399,10.776,10.737,2.143,0.717
2346,36.887,30.946,10.082,10.526,8.689,1.903,0.967
2347,39.736,28.385,10.755,9.741,8.592,2.323,0.468
2348,36.751,29.532,10.424,10.948,8.543,2.875,0.927
2349,38.026,29.482,10.547,9.751,8.487,2.827,0.88
2350,37.954,29.881,8.709,10.977,9.91,1.742,0.827
2351,38.628,27.721,9.826,11.105,10.121,2.007,0.593
2352,38.195,28.463,10.145,10.803,9.352,2.456,0.587
2353,36.734,30.369,10.596,9.816,9.539,2.175,0.771
2354,38.179,28.846,9.976,10.214,9.592,2.318,0.874
2355,37.231,28.066,10.694,12.742,8.511,2.258,0.496
2356,38.823,29.286,9.177,11.087,8.535,2.053,1.039
2357,38.511,29.682,10.619,7.873,10.091,2.026,1.198
2358,38.242,31.034,9.377,9.479,9.271,2.032,0.565
2359,36.392,30.031,9.981,11.096,9.2,2.557,0.742
2360,39.201,31.09,8.442,10.209,8.208,2.229,0.621
2361,39.85,29.164,10.3,10.074,8.908,1.388,0.315
2362,38.521,28.228,9.648,10.066,10.806,2.188,0.543
2363,38.242,29.132,10.977,9.654,9.078,2.171,0.746
2364,39.344,27.902,10.136,10.083,9.308,2.445,0.783
2365,40.333,28.493,7.739,11.995,9.955,1.159,0.325
2366,37.762,30.637,8.862,12.796,7.699,1.09,1.154
2367,36.031,30.672,9.824,11.193,9.358,2.402,0.52
2368,37.169,28.977,10.974,9.61,9.911,2.51,0.848
2369,35.1,30.911,11.072,11.591,8.655,2.217,0.454
2370,37.813,28.632,10.207,9.931,10.149,2.606,0.662
2371,37.728,27.971,10.483,9.488,11.101,2.381,0.849
2372,37.86,29.533,9.705,11.653,9.106,1.527,0.617
2373,38.642,29.21,9.653,9.713,8.986,3.181,0.614
2374,38.06,30.278,9.055,10.503,9.03,2.179,0.896
2375,37.735,26.733,9.767,10.504,12.02,2.696,0.545
2376,38.303,30.753,9.218,10.781,7.594,2.371,0.98
2377,37.958,28.489,9.095,11.726,9.602,2.562,0.566
2378,37.014,29.05,11.753,10.008,8.357,3.216,0.602
2379,38.714,29.714,10.522,9.543,9.147,1.781,0.58
2380,36.799,30.076,11.479,9.866,9.416,1.836,0.528
2381,37.997,28.593,10.722,8.834,11.431,1.722,0.7
2382,39.004,26.779,9.687,12.388,9.221,1.987,0.935
2383,35.277,28.986,9.768,12.063,11.292,1.981,0.633
2384,37.28,30.606,10.568,10.57,8.13,2.399,0.447
2385,37.071,29.439,11.113,9.079,10.418,2.679,0.202
2386,37.875,29.501,9.177,9.904,9.349,3.004,1.191
2387,37.704,29.045,8.504,11.92,10.199,2.054,0.574
2388,39.325,27.921,10.31,10.22,8.879,2.791,0.555
2389,37.345,29.232,10.377,9.983,10.315,2.044,0.704
2390,37.783,29.81,10.741,9.977,8.7,2.383,0.605
2391,38.485,29.002,8.297,11.369,9.579,2.733,0.535
2392,40.381,27.227,10.805,10.191,8.997,1.422,0.977
2393,36.817,29.565,9.904,10.584,9.571,2.691,0.869
2394,37.617,28.945,10.254,11.396,9.897,1.469,0.422
2395,36.959,29.584,9.388,9.654,11.352,2.13,0.933
2396,36.24,28.863,10.292,10.112,10.382,3.269,0.843
2397,37.391,28.292,10.53,9.343,11.209,2.362,0.872
2398,37.663,29.138,10.932,11.057,8.198,2.553,0.459
2399,37.97,27.849,10.768,9.938,10.173,3.176,0.126
2400,38.61,27.991,8.78,10.961,11.084,1.651,0.923
2401,40.334,28.896,7.302,11.865,8.342,2.498,0.762
2402,36.773,30.829,9.485,10.747,9.28,2.172,0.715
2403,36.224,29.755,9.212,10.95,10.783,2.432,0.644
2404,40.299,27.064,8.501,10.615,9.968,2.368,1.186
2405,36.215,31.132,8.719,11.336,9.421,2.306,0.87
2406,35.548,32.201,10.872,8.479,10.463,1.96,0.477
2407,37.802,29.253,10.116,10.659,9.25,2.255,0.666
2408,36.764,28.913,10.138,11.631,9.043,2.305,1.206
2409,36.305,31.041,9.619,11.084,9.522,1.797,0.633
2410,39.35,28.943,8.298,10.384,10.476,2.156,0.392
2411,39.432,30.93,9.3,8.847,8.645,2.268,0.578
2412,40.178,27.827,10.378,10.026,8.123,2.201,1.267
2413,40.37,29.021,9.208,8.648,9.21,2.935,0.609
2414,36.376,30.422,9.659,10.835,9.396,2.468,0.844
2415,39.478,27.188,10.134,9.71,9.865,2.488,1.137
2416,38.129,29.049,9.891,11.049,9.245,1.746,0.891
2417,37.004,29.825,9.543,10.658,10.654,1.226,1.091
2418,37.161,27.99,10.492,11.529,10.195,1.84,0.792
2419,38.36,26.309,11.748,9.852,10.142,2.655,0.935
2420,38.789,29.784,9.091,10.084,9.161,2.985,0.105
2421,37.529,26.647,11.516,11.429,9.177,2.671,1.032
2422,39.556,29.259,9.336,9.804,8.848,2.708,0.49
2423,38.123,29.694,10.294,9.525,9.061,2.392,0.911
2424,37.709,27.306,12.143,10.204,9.662,2.038,0.937
2425,37.102,31.304,10.473,9.945,8.465,1.961,0.751
2426,37.761,28.317,10.035,9.823,11.184,2.346,0.534
2427,38.135,28.544,10.219,10.481,9.934,2.099,0.589
2428,37.562,29.702,9.591,10.794,10.18,1.288,0.883
2429,37.533,29.924,10.062,10.29,9.776,1.593,0.821
2430,37.292,30.997,9.332,11.497,8.171,1.744,0.967
2431,37.516,29.657,9.012,11.175,9.959,2.217,0.465
2432,36.911,33.066,10.636,7.299,9.107,2.234,0.746
2433,37.244,28.875,11.25,9.819,8.693,2.747,1.373
2434,38.324,29.377,9.092,10.957,9.115,2.069,1.066
2435,38.533,29.581,8.524,10.217,9.669,2.775,0.701
2436,36.137,32.384,9.216,8.921,11.339,1.85,0.152
2437,37.478,30.403,9.152,10.248,9.64,2.053,1.026
2438,36.12,30.762,11.116,10.354,8.361,2.366,0.921
2439,38.424,28.614,9.951,10.408,9.615,2.506,0.482
2440,39.366,30.862,8.517,8.997,9.181,2.793,0.284
2441,38.423,29.784,9.018,11.148,9.036,1.842,0.749
2442,38.66,28.268,9.565,9.853,9.902,3.119,0.632
2443,38.964,27.891,8.626,11.037,10.024,2.947,0.51
2444,39.771,32.128,7.963,8.84,8.295,2.172,0.831
2445,39.222,31.76,8.201,10.001,8.509,2.01,0.296
2446,36.399,30.913,10.448,10.4,8.434,2.315,1.091
2447,36.173,29.599,9.732,11.073,10.558,1.849,1.016
2448,39.028,30.647,10.443,7.674,9.457,2.238,0.513
2449,35.42,33.151,9.661,10.967,8.117,2.012,0.671
2450,38.341,30.914,7.79,11.059,8.399,2.949,0.548
2451,38.38,30.401,9.288,10.438,8.609,2.113,0.771
2452,38.26,30.857,8.732,10.984,8.868,1.751,0.549
2453,39.712,27.486,9.406,9.226,9.922,3.181,1.067
2454,38.94,30.185,8.76,9.756,9.612,2.009,0.738
2455,38.417,30.025,9.398,9.632,9.542,2.213,0.773
2456,37.323,28.438,11.269,10.911,9.001,2.501,0.558
2457,36.573,29.365,10.129,11.578,9.833,2.107,0.415
2458,37.368,29.838,11.137,9.841,9.378,1.879,0.559
2459,37.669,30.008,9.546,10.54,8.853,2.694,0.691
2460,38.125,30.605,9.138,10.183,9.08,2.548,0.321
2461,37.67,28.884,10.641,11.66,8.072,2.151,0.923
2462,38.439,29.279,9.725,10.804,8.141,2.564,1.048
2463,37.81,31.316,9.13,10.335,9.643,1.431,0.335
2464,36.526,30.782,9.235,9.811,9.931,2.932,0.784
2465,38.834,28.454,11.316,8.762,10.073,1.825,0.736
2466,38.378,30.095,7.799,10.966,9.846,2.37,0.546
2467,34.657,29.495,11.141,11.217,10.04,2.773,0.677
2468,37.923,28.865,11.181,9.811,8.919,2.425,0.875
2469,40.876,28.292,9.101,8.935,9.961,1.715,1.119
2470,37.582,29.23,11.834,9.922,8.404,2.397,0.631
2471,37.076,29.372,9.995,9.985,11.035,1.696,0.841
2472,38.436,30.29,10.692,9.947,8.391,1.348,0.896
