okr_num,nazwa,pis,ko,psl,konf,lew,sym_nr
24,Bia³ystok,42.876,23.548,10.774,11.961,7.351,4
25,Gdañsk,25.735,44.697,7.616,12.272,10.481,4
26,S³upsk,29.354,39.254,9.616,12.384,9.903,4
27,Bielsko-Bia³a I,38.126,30.134,8.341,12.833,9.032,4
28,Czêstochowa,36.14,25.683,9.932,10.553,12.606,4
29,Katowice I,30.392,36.137,7.391,13.144,10.729,4
30,Bielsko-Bia³a II,38.975,30.83,7.099,12.222,7.692,4
31,Katowice II,31.196,40.603,5.741,12.721,9.286,4
32,Katowice III,29.745,32.945,6.141,11.326,17.451,4
33,Kielce,44.93,19.537,11.232,10.404,8.148,4
34,Elbl¹g,32.729,32.289,12.674,10.043,9.424,4
35,Olsztyn,30.99,30.159,14.89,11.973,10.995,4
36,Kalisz,33.935,28.207,14.565,11.475,10.758,4
37,Konin,38.122,23.712,11.174,11.687,12.288,4
38,Pi³a,28.313,34.275,15.748,11.238,10.671,4
39,Poznañ,20.452,49.059,7.866,11.225,12.826,4
40,Koszalin,29.278,35.904,11.157,10.441,12.219,4
41,Szczecin,28.017,39.146,9.166,11.426,12.109,4
1,Legnica,38.179,27.185,9.058,9.328,11.256,5
2,Wa³brzych,35.778,34.039,9.432,8.563,8.455,5
3,Wroc³aw,31.088,34.846,8.699,11.359,10.481,5
4,Bydgoszcz,32.524,32.695,11.376,10.926,10.369,5
5,Toruñ,36.275,28.186,13.403,9.847,10.211,5
6,Lublin,50.468,20.096,11.15,11.247,5.439,5
7,Che³m,54.022,15.679,14.313,9.317,4.983,5
8,Zielona Góra,30.549,32.853,14.4,11.077,10.574,5
9,£ódŸ,29.645,37.005,6.307,10.193,13.567,5
10,Piotrków Trybunalski,50.997,16.88,12.695,10.612,7.503,5
11,Sieradz,44.764,22.44,12.555,9.36,8.283,5
12,Kraków I,48.334,23.97,10.036,10.937,5.766,5
13,Kraków II,35.746,31.388,9.451,12.543,8.763,5
14,Nowy S¹cz,59.89,14.986,8.925,10.818,4.029,5
15,Tarnów,54.08,15.408,15.997,10.991,3.968,5
16,P³ock,47.969,17.745,18.287,8.668,6.482,5
17,Radom,52.337,19.159,12.472,9.371,5.262,5
18,Siedlce,54.489,15.365,14.387,10.32,4.506,5
19,Warszawa I,24.951,42.658,6.811,11.723,12.077,5
20,Warszawa II,36.904,30.351,10.986,10.472,8.8,5
21,Opole,33.006,28.393,12.874,8.866,7.871,5
22,Krosno,57.414,16.794,9.69,10.666,4.315,5
23,Rzeszów,56.781,15.086,9.634,12.824,4.571,5
24,Bia³ystok,47.404,22.24,11.664,10.828,6.336,5
25,Gdañsk,28.528,42.129,8.179,11.099,8.977,5
26,S³upsk,32.524,37.027,10.373,11.196,8.511,5
27,Bielsko-Bia³a I,42.195,28.443,9.021,11.626,7.75,5
28,Czêstochowa,39.993,24.277,10.76,9.566,10.865,5
29,Katowice I,33.677,34.11,7.962,11.896,9.235,5
30,Bielsko-Bia³a II,43.176,29.108,7.637,11.056,6.611,5
